
Jo PRO^1^SG
faýem VBDI^1^PL
bé ADV
nostres D^POS
faenes N
e CONJ
havíem VBDI^1^PL
adobat VNI
nostre D^POS
menjar VB
e CONJ
miràvem VBDI^1^PL
los D
geyns ADJ
con C
tiraven VBDI^3^PL
; ;
e CONJ
era VBDI^3^SG
·l D
bisbe N
de P
Barcelona NPR
de P
prop P
nós PRO^1^PL
e CONJ
En DPR
Carroç NPR
e CONJ
altres D^Q
cavallers N
; ;
e CONJ
vim VBDI^1^PL
fumar VB
lo D
val N
per P
una D^Q
cava N
que C
·ls D
sarraïns N
havien VBDI^3^PL
feta VNI
dejús N
, COMMA
en P
dret N
del P+D
pertreyt N
. .

E CONJ
, COMMA
quant C
nós PRO^1^PL
ho PRO^A^NTR
vim VBDI^1^PL
, COMMA
pesà VBDI^3^SG
·ns PRO^D^1^PL
mortalment ADV
que C
tota D^Q
la D
messió N
que C
feyta VNI
havíem VBDI^1^PL
e CONJ
la D
tarda N
que C
feyta VNI
havíem VBDI^1^PL
fóra VBDS^3^SG
perduda VNI
. .

E CONJ
havíem VBDI^1^PL
fe N
que C
per P
aquel D^DEM
feyt N
se PRO^RFL^3^SG
goanyàs VBDS^3^SG
la D
vila N
, COMMA
e CONJ
que C
ho PRO^A^NTR
víssem VBDS^1^PL
perdre VB
en P
una D^Q
poca D^Q
d’ P
ora N
, COMMA
pesà VBDI^3^SG
·ns PRO^D^1^PL
molt ADV
. .

E CONJ
tots PRO^Q
calaven VBDI^3^PL
, COMMA
e CONJ
nós PRO^1^PL
estiguem VBDI^1^PL
pensan VG
una D^Q
pessa N
; ;
e CONJ
Déu N
donà VBDI^3^SG
·ns PRO^D^1^PL
·i· NUM
pensament N
: :
que C
nós PRO^1^PL
faéssem VBDS^1^PL
tornar VB
l’ D
aygua N
e CONJ
·l PRO^A^3^SG
val N
en P
aquesta D^DEM
manera N
, COMMA
que C
féssem VBDS^1^PL
armar VB
·c· NUM
hòmens N
ab P
escuts N
e CONJ
ab P
lançes N
e CONJ
ab P
lur D^POS
appareylament N
, COMMA
e CONJ
que C
anassen VBDS^3^PL
ab P
exades N
, COMMA
per P
ço PRO^3^SG
que C
·ls D
sarraïns N
no NEG
·ls D
vissen VBDS^3^PL
, COMMA
e CONJ
que C
aquela D^DEM
part N
que C
pus ADV
alta ADJ
era VBDI^3^SG
que C
gitassen VBDS^3^PL
l’ D
aygua N
alí ADV
on C
lo D
pertreyt N
era VBDI^3^SG
, COMMA
e CONJ
que C
s’ PRO^RFL^3^SG
abeuràs VBDS^3^SG
alí ADV
, COMMA
e CONJ
apagar VB
s’ PRO^RFL^3^SG
ia VBPC^3^SG
·l D
foch N
. .

E CONJ
, COMMA
axí ADV
con C
fo VBDI^3^SG
pensat VN
, COMMA
fo VBDI^3^SG
fet VNI
. .

E CONJ
puys ADV
no NEG
y PRO^ADV
tornaren VBDI^3^PL
los D
moros N
. .

E CONJ
vengren VBDI^3^PL
puys ADV
a P
les D
coves N
que C
nós PRO^1^PL
deýem VBDI^1^PL
dejús P+D
terra N
e CONJ
faeren VBDI^3^PL
-ne PRO^ADV
éls PRO^3^PL
altra D^Q
contra P
la D
una D^Q
d’ P
aqueles D^DEM
que C
nós PRO^1^PL
faýem VBDI^1^PL
, COMMA
e CONJ
faeren VBDI^3^PL
-la PRO^A^3^SG
tan ADV
baxa ADJ
que C
s’ PRO^RFL^3^SG
encontraren VBDS^3^PL
éls PRO^3^PL
ab P
los D
nostres D^POS
en P
la D
cava N
. .

E CONJ
gitaren VBDI^3^PL
los D
sarraïns N
los D
nostres D^POS
de P
la D
cava N
. .

E CONJ
sobre P
açò PRO^3^SG
vench VBDI^3^SG
-nos PRO^D^1^PL
missatge N
que C
·ls D
sarraïns N
havien VBDI^3^PL
gitats VNI
los D
nostres D^POS
de P
la D
cava N
e CONJ
éls PRO^3^PL
que C
la D
tenien VBDI^3^PL
. .

E CONJ
enviam VBDI^1^PL
-hi PRO^ADV
una D^Q
balesta N
de P
torn N
, COMMA
e CONJ
donà VBDI^3^SG
tal ADV
a P
·ii· NUM
escudats VNI
sarraïns N
que C
eren VBDI^3^PL
primers ADJ
en P
la D
cava N
, COMMA
que C
ab P
·ii· NUM
los D
ocís VBDS^3^SG
en P
·i· NUM
colp N
, COMMA
part P
los D
escuts N
. .

E CONJ
, COMMA
quan C
viren VBDI^3^PL
los D
de P
dins ADV
aquest D^DEM
colp N
, COMMA
desempararen VBDI^3^PL
la D
cava VBDI^3^SG
; ;
e CONJ
en P
esta D^DEM
manera N
faeren VBDI^3^PL
les D
caves N
dejús VBDS^3^SG
terra N
, COMMA
al P+D
rasar N
del P+D
val N
. .

E CONJ
sobre P
açò PRO^3^SG
viren VBDI^3^PL
los D
sarraïns N
que C
no NEG
u PRO^A^NTR
podien VBDI^3^PL
defendre VB
e CONJ
FOL44r FOL
enviaren VBDI^3^PL
-nos PRO^D^1^PL
missatge N
que C
volien VBDI^3^PL
parlar VB
ab P
missatge N
que C
nós PRO^1^PL
los D
enviàssem VBDS^1^PL
, COMMA
e CONJ
que C
fossen VBDS^3^PL
tals ADJ
en P
qui C
nós PRO^1^PL
nos PRO^RFL^1^PL
fiàssem VBDI^1^PL
. .

E CONJ
aguem VBDI^1^PL
conseyl N
dels P+D
bisbes N
e CONJ
dels P+D
nobles N
qui C
eren VBDI^3^PL
en P
la D
ost N
que C
, COMMA
pus ADV
éls PRO^3^PL
volien VBDI^3^PL
ab P
nós PRO^1^PL
parlar VB
, COMMA
que C
no NEG
·ls PRO^D^3^PL
ho PRO^A^NTR
devia VBDI^3^SG
hom MAN
vedar VB
, COMMA
ans CONJ
era VBDI^3^SG
bo ADJ
que C
hom MAN
hi PRO^ADV
anàs VBDS^3^SG
. .

E CONJ
enviam VBDI^1^PL
-hi PRO^ADV
Don DPR
Nuno NPR
ab P
·x· NUM
cavallers N
seus D^POS
e CONJ
·i· NUM
juheu N
de P
Saragoça NPR
qui C
sabia VBDI^3^SG
algaravia N
, COMMA
per P
trujanman N
, COMMA
e CONJ
havia VBDI^3^SG
nom N
Don DPR
Bahihel NPR
. .

E CONJ
, COMMA
quan C
éls PRO^3^PL
foren VBDI^3^PL
là ADV
, COMMA
demanaren VBDI^3^PL
los D
sarraïns N
a P
Don DPR
Nuno NPR
què WPRO
volie VBDI^3^SG
ni CONJ+NEG
si C
·ls PRO^D^3^PL
volie VBDI^3^SG
res PRO^Q
dir VB
. .

E CONJ
dix VBDI^3^SG
Don DPR
Nuno NPR
: :
Jo PRO^1^SG
no NEG
són VBPI^3^PL
vengut VNI
aquí ADV
per P
açò PRO^3^SG
, COMMA
mas CONJ
vós PRO^2^PL
enviàs VBDS^3^SG
missatge N
a P
mon D^POS
seyor N
lo D
rey N
que C
us PRO^D^2^PL
enviàs VBDS^3^SG
missatge N
en P
què WPRO
él PRO^3^SG
molt ADV
se PRO^RFL^3^SG
fiàs VBDS^3^SG
, COMMA
e CONJ
trià VBDI^3^SG
a P
mi PRO^D^1^SG
per P
aquel D^DEM
; ;
encara ADV
, COMMA
que C
són VBPI^3^PL
son D^POS
parent N
. .

E CONJ
per P
açò PRO^3^SG
e CONJ
per P
honor N
de P
vós PRO^2^PL
envià VBDI^3^SG
·m PRO^A^1^SG
aquí ADV
e CONJ
per P
hoir VB
ço PRO^3^SG
que C
vós PRO^2^PL
li PRO^D^3^SG
volets VBPI^2^PL
dir VB
. .

E CONJ
respòs VBDI^3^SG
-li PRO^D^3^SG
lo D
rey N
de P
Maylorques NPR
e CONJ
dix VBDI^3^SG
-li PRO^D^3^SG
que C
se PRO^RFL^3^SG
·n PRO^ADV
tornàs VBDS^3^SG
, COMMA
que C
él PRO^3^SG
no NEG
li PRO^D^3^SG
volie VBDI^3^SG
re PRO^Q
dir VB
; ;
e CONJ
Don DPR
Nuno NPR
vench VBDI^3^SG
a P
nós PRO^1^PL
. .

E CONJ
tantost ADV
enviam VBDI^1^PL
per P
tot D^Q
nostre D^POS
conseyl N
, COMMA
per P
los D
bisbes N
e CONJ
per P
los D
nobles N
. .

E CONJ
Don DPR
Nuno NPR
, COMMA
enans ADV
que C
començàs VBDS^3^SG
sa D^POS
raó N
, COMMA
près VBDI^3^SG
-s PRO^RFL^3^PL
·a P
riure VB
; ;
e CONJ
demanam VBDI^1^PL
-li PRO^D^3^SG
nós PRO^1^PL
per P
què WPRO
reÿa VBDI^3^SG
. .

E CONJ
dix VBDI^3^SG
él PRO^3^SG
que C
bé ADV
y PRO^ADV
hauria VBPC^3^SG
raó N
, COMMA
car C
lo D
rey N
de P
Maylorques NPR
no NEG
li PRO^D^3^SG
havia VBDI^3^SG
res PRO^Q
dit VNI
, COMMA
sinó CONJ
tant ADV
solament ADV
que C
li PRO^D^3^SG
demanà VBDI^3^SG
què WPRO
volia VBDI^3^SG
. .

E CONJ
jo PRO^1^SG
dix VBDI^3^SG
-li PRO^D^3^SG
que C
·m PRO^D^1^SG
maraveylava VBDI^3^SG
molt ADV
, COMMA
de P
tant ADV
savi ADJ
hom N
con C
él PRO^3^SG
era VBDI^3^SG
, COMMA
que C
él PRO^3^SG
hagués VBDS^3^SG
enviat VN
missatge N
a P
vós PRO^2^PL
que C
vós PRO^2^PL
li PRO^D^3^SG
enviàssets VBDS^2^PL
hom N
en P
qui C
vós PRO^2^PL
vos PRO^RFL^2^PL
fiàssets VBPS^2^PL
molt ADV
, COMMA
e CONJ
que C
él PRO^3^SG
demanàs VBDS^3^SG
a P
mi PRO^D^1^SG
què WPRO
li PRO^D^3^SG
volia VBDI^3^SG
dir VB
. .

Responem VBDI^1^PL
-li PRO^D^3^SG
que C
él PRO^3^SG
nos PRO^D^1^PL
ho PRO^A^NTR
auria VBPC^3^SG
a P
dir VB
, COMMA
quar C
, COMMA
pus C
él PRO^3^SG
envià VBDI^3^SG
per P
nós PRO^1^PL
, COMMA
no NEG
li PRO^D^3^SG
diríem VBPC^1^PL
re PRO^Q
, COMMA
si C
él PRO^3^SG
no NEG
deÿa VBDI^3^SG
per P
què WPRO
. .

E CONJ
tot D^Q
nostre D^POS
conseyl N
dix VBDI^3^SG
que C
: :
Temps N
vendrà ADV
que C
él PRO^3^SG
parlarà VBFI^3^SG
volentés ADV
. .

E CONJ
sobre P
açò PRO^3^SG
partim VBDI^1^PL
-nos PRO^RFL^1^PL
. .

E CONJ
, COMMA
quan C
haguem VBDI^1^PL
estat VN
una D^Q
peça N
, COMMA
que C
se PRO^RFL^3^SG
·n PRO^ADV
foren VBDI^3^PL
anats VNI
, COMMA
dix VBDI^3^SG
-nos PRO^D^1^PL
Don DPR
Pero NPR
Corneyl NPR
, COMMA
qui C
havia VBDI^3^SG
estat VN
en P
lo D
conseyl N
: :
Guil NPR
d’ P
Alagó NPR
, COMMA
qui C
ha VBPI^3^SG
nom N
Mahomet NPR
, COMMA
m’ PRO^D^3^SG
à VBPI^3^SG
enviat VN
missatge N
·ii· NUM
vegades N
que C
vol VBPI^3^SG
parlar VB
ab P
mi PRO^D^1^SG
; ;
e CONJ
, COMMA
si C
vós PRO^2^PL
ho PRO^A^NTR
volets VBPI^2^PL
, COMMA
jo PRO^1^SG
hi PRO^ADV
parlaré VBFI^1^SG
, COMMA
e CONJ
FOL44v FOL
per P
aventura N
descobrir VB
-nos PRO^D^1^PL
ha VBPI^3^SG
tal ADJ
cosa N
que C
a P
vós PRO^2^PL
tenrà VBFI^3^SG
prou D^Q
. .

E CONJ
dixem VBDI^1^PL
nós PRO^1^PL
que C
·ns PRO^D^1^PL
plahia VBDI^3^SG
. .

E CONJ
anà VBDI^3^SG
là ADV
. .

E CONJ
altre D^Q
dia N
, COMMA
bon ADJ
matí N
, COMMA
que C
él PRO^3^SG
fo VBDI^3^SG
vengut VNI
, COMMA
dix VBDI^3^SG
-nos PRO^D^1^PL
tot D^Q
ço PRO^3^SG
que C
Guil NPR
d’ P
Alagó NPR
li PRO^D^3^SG
havia VBDI^3^SG
dit VNI
, COMMA
qui C
era VBDI^3^SG
estat VN
chrestià ADJ
primerament ADV
e CONJ
cavaler N
e CONJ
puys ADV
era VBDI^3^SG
·s PRO^RFL^3^SG
tornat N
sarraý N
; ;
e CONJ
havia VBDI^3^SG
·l PRO^3^SG
dit VN
enaxí ADV
: :
que C
él PRO^3^SG
aguisaria VBPC^3^SG
ab P
lo D
rey N
de P
Maylorques NPR
e CONJ
ab P
tots D^Q
los D
sarraïns N
e CONJ
ab P
los D
veyls N
de P
la D
vila N
e CONJ
de P
la D
terra N
que C
·s PRO^RFL^3^PL
darien VBPC^3^PL
tota D^Q
la D
messió N
que C
nós PRO^1^PL
ni CONJ+NEG
els D
richs ADJ
hòmens N
havien VBDI^3^PL
feyta VNI
per P
lo D
passatge N
e CONJ
que C
·ns PRO^D^1^PL
lexarien VBPC^3^PL
recuylir VB
salvament ADV
e CONJ
segura ADJ
, COMMA
e CONJ
açò PRO^3^SG
que C
·ns PRO^D^1^PL
assegurarien VBDI^3^PL
en P
tal ADJ
manera N
, COMMA
que C
nós PRO^1^PL
nos PRO^RFL^1^PL
en PRO^ADV
tendríem VBPC^1^PL
bé ADV
per P
segurs ADJ
. .

E CONJ
, COMMA
quan C
nós PRO^1^PL
haguem VBDI^1^PL
hoïda VNI
la D
paraula N
, COMMA
dixem VBDI^1^PL
-li PRO^D^3^SG
: :
Don DPR
Pero NPR
Corneyl NPR
, COMMA
fort ADV
nos PRO^RFL^1^PL
maraveylam VBPI^1^PL
de P
vós PRO^2^PL
con C
aytal D^DEM
pleyt N
vós PRO^2^PL
parlats VBPI^2^PL
, COMMA
car C
nós PRO^1^PL
prometem VBDI^1^PL
a P
Déu N
, COMMA
e CONJ
per P
la D
fe N
que C
él PRO^3^SG
nos PRO^D^1^PL
à VBPI^3^SG
comanada VNI
e CONJ
donada VNI
, COMMA
que C
qui C
·ns PRO^D^1^PL
donava VBDI^3^SG
tant ADV
d’ P
argent N
con C
cabria VBPC^3^SG
d’ P
aquela D^DEM
montanya N
tro P
en P
la D
ost N
, COMMA
que C
nós PRO^1^PL
ho PRO^A^NTR
pendríem VBPC^1^PL
; ;
ni CONJ+NEG
poden VBPI^3^PL
haver VB
ab P
nós PRO^1^PL
negun D^Q
pleyt N
de P
Maylorques NPR
, COMMA
si C
la D
vila N
e CONJ
·l D
regne N
nós PRO^1^PL
no NEG
prenam VBPI^1^PL
. .

Car C
negun D^Q
temps N
no NEG
passarien VBPC^3^PL
en P
Cathaluyna NPR
, COMMA
si C
per P
Maylorques NPR
no NEG
passaven VBDI^3^PL
primer ADV
. .

E CONJ
manam VBPI^1^PL
-vos PRO^D^2^PL
en P
pena N
de P
la D
nostra D^POS
amor N
que C
negun D^Q
temps N
d’ P
aytal D^DEM
raó N
vós PRO^2^PL
no NEG
parlets VBPS^2^PL
ab P
nós PRO^1^PL
. .

E CONJ
sobre P
açò PRO^3^SG
envià VBDI^3^SG
·ns PRO^D^1^PL
altra D^Q
vegada N
missatge N
lo D
rey N
de P
Maylorques NPR
que C
li PRO^D^3^SG
enviàssem VBDS^1^PL
Don DPR
Nuno NPR
, COMMA
e CONJ
parlaria VBPC^3^SG
ab P
él PRO^3^SG
. .

E CONJ
nós PRO^1^PL
enviam VBDI^1^PL
-l’ PRO^A^3^SG
í PRO^ADV
. .

E CONJ
isch VBDI^3^SG
al P+D
rey N
de P
Maylorques NPR
per P
la D
porta N
de P
Port NPR
Tupí NPR
e CONJ
féu VBDI^3^SG
parar VB
una D^Q
tenda N
e CONJ
sos D^POS
sitis N
en P
què WPRO
siguessen VBDI^3^PL
él PRO^3^SG
e CONJ
Don DPR
Nuno NPR
. .

E CONJ
Don DPR
Nuno NPR
exí VBDI^3^SG
a P
ell PRO^3^SG
, COMMA
e CONJ
tota D^Q
la D
ost N
cessava VBDI^3^SG
can C
eren VBDI^3^PL
aqueles D^DEM
vistes N
, COMMA
que C
no NEG
faÿen VBDI^3^PL
als PRO^Q
de P
dins ADV
mal N
, COMMA
ni CONJ+NEG
·ls D
de P
dins ADV
als P+D
de P
fora ADV
. .

E CONJ
quan C
se PRO^RFL^3^SG
foren VBDI^3^PL
acostats VNI
, COMMA
lo D
rey N
de P
Maylorques NPR
e CONJ
Don DPR
Nuno NPR
devalaren VBDI^3^PL
en P
la D
tenda N
. .

E CONJ
parlaren VBDI^3^PL
lo D
rey N
tan ADV
solament ADV
ab P
·ii· NUM
de P
sos D^POS
veyls N
. .

E CONJ
Don DPR
Nuno NPR
e CONJ
l’ D
alfaquim N
qui C
anava VBDI^3^SG
per P
trujanmà N
; ;
e CONJ
els D
cavallers N
qui C
eren VBDI^3^PL
ab P
Don DPR
Nuno NPR
estaven VBDI^3^PL
FOL45r FOL
de P
fora ADV
ab P
alguns D^Q
sarraïns N
qui C
estaven VBDI^3^PL
ab P
éls PRO^3^PL
. .

E CONJ
Don DPR
Nuno NPR
dix VBDI^3^SG
al P+D
rey N
de P
Maylorques NPR
que C
dixés VBDS^3^SG
per P
què WPRO
havia VBDI^3^SG
enviat VN
per P
él PRO^3^SG
. .

E CONJ
él PRO^3^SG
dix VBDI^3^SG
-li PRO^D^3^SG
que C
per P
aquesta D^DEM
raó N
: :
Car C
jo PRO^1^SG
no NEG
cuyt VBPI^1^SG
tort N
tenir VB
al P+D
rey N
vostre D^POS
; ;
hon C
me PRO^RFL^1^SG
dón VBDI^1^PL
maraveyla N
con C
tant ADV
fort ADV
s’ PRO^RFL^3^SG
enfelonex VBPI^3^SG
contra P
mi PRO^D^1^SG
, COMMA
que C
·m PRO^D^1^SG
vol VBPI^3^SG
tolre VB
mon D^POS
regne N
, COMMA
so PRO^3^SG
que C
Déus N
m’ PRO^D^1^SG
à VBPI^3^SG
donat VN
. .

Car C
yo PRO^1^SG
pregaria VBPC^1^SG
a P
ell PRO^3^SG
e CONJ
a P
vosaltres PRO^2^PL
que C
li PRO^D^3^SG
conseylàssets VBPS^2^PL
que C
no NEG
·m PRO^D^1^SG
volgués VBDS^3^SG
tolre VB
ma D^POS
terra N
; ;
e CONJ
, COMMA
si C
él PRO^3^SG
havia VBDI^3^SG
feyta VNI
neguna D^Q
messió N
ni CONJ+NEG
vosaltres PRO^2^PL
qui C
sóts VBPI^2^PL
venguts VNI
aquí ADV
, COMMA
que C
la D
li PRO^D^3^SG
desfaríem VBPC^1^PL
jo PRO^1^SG
e CONJ
la D
gent N
de P
la D
terra N
; ;
e CONJ
que C
us PRO^RFL^2^PL
recuylíssets VBDS^2^SG
él PRO^3^SG
e CONJ
tots D^Q
quans ADJ^Q
sóts VBPI^2^PL
venguts VNI
aquí ADV
ab P
él PRO^3^SG
en P
bé N
e CONJ
en P
pau N
, COMMA
meyns ADV
que C
neguna D^Q
re N
no NEG
us PRO^D^2^PL
faria VBPC^3^SG
hom MAN
sinó CONJ
plaer N
e CONJ
amor N
; ;
e CONJ
que C
se PRO^RFL^3^SG
·n PRO^ADV
tornàs VBDS^3^SG
lo D
rey N
, COMMA
pus ADV
que C
tan ADV
gran ADJ
aver VB
hauríem VBPC^1^PL
nós PRO^1^PL
e CONJ
la D
gent N
de P
la D
terra N
a P
pagar VB
; ;
&L ASIDEB
- -
[ [
e CONJ
açò PRO^3^SG
aurien VBPC^3^PL
- -
nós PRO^1^PL
pagat VNI
dintre VB
·v· NUM
dies N
] ]
&L+ ASIDEE
. .

Car C
la D
merçè N
de P
Déu N
, COMMA
nós PRO^1^PL
hinc PRO^ADV
havem VBPI^1^PL
bastament D^Q
d’ P
armes N
e CONJ
de P
vianda N
e CONJ
de P
tota D^Q
re N
que C
hom MAN
ha VBPI^3^SG
mester N
a P
deffensó N
de P
ciutat N
. .

E CONJ
, COMMA
per P
tal ADV
que C
mils ADV
creats VBPS^2^PL
la D
paraula N
que C
jo PRO^1^SG
us PRO^D^2^PL
hé VBPI^1^SG
mostrada VNI
, COMMA
enviÿ VBPS^3^SG
vostre D^POS
seyor N
lo D
rey N
·ii· NUM
hòmens N
o CONJ
·iii· NUM
en P
què WPRO
él PRO^3^SG
se PRO^RFL^3^SG
fiu VBPS^3^SG
, COMMA
e CONJ
vénguen VBPS^3^PL
sobre P
la D
mia D^POS
testa N
de P
venir VB
e CONJ
de P
tornar VB
saus ADJ
e CONJ
segurs ADJ
, COMMA
e CONJ
mostrar VB
-los PRO^D^3^PL
ém VBPI^1^PL
lo D
conduyt N
e CONJ
les D
armes N
. .

E CONJ
, COMMA
si C
així ADV
no NEG
és VBPI^3^SG
con C
nós PRO^1^PL
ho PRO^A^NTR
deïm VBPI^1^PL
, COMMA
que C
no NEG
·ns PRO^D^1^PL
atena VBPS^3^SG
lo D
pleyt N
que C
nós PRO^1^PL
li PRO^D^3^SG
parlam VBPI^1^PL
. .

E CONJ
sapiats VBI^2^PL
que C
nós PRO^1^PL
no NEG
dam VBPI^1^PL
res PRO^Q
en P
enderrocar VB
aqueles D^DEM
torres N
que C
·ns PRO^D^1^PL
derrocats VBPI^1^PL
, COMMA
que C
no NEG
havem VBPI^1^PL
paor N
que C
ja ADV
per P
aquí ADV
puxen VBPS^3^PL
entrar VB
en P
la D
ciutat N
. .

E CONJ
, COMMA
hoïdes VNI
les D
paraules N
, COMMA
respòs VBDI^3^SG
Don DPR
Nuno NPR
e CONJ
dix VBDI^3^SG
-li PRO^D^3^SG
: :
En DPR
açò PRO^3^SG
que C
vós PRO^2^PL
deïts VBPI^2^PL
que C
no NEG
tenits VBPI^2^PL
al P+D
rey N
nostre D^POS
gran ADJ
tort N
, COMMA
sí ADV
tenits VBPI^2^PL
, COMMA
quan C
li PRO^D^3^SG
presés VBDS^3^SG
una D^Q
tarida N
de P
son D^POS
regne N
ab P
avers N
grans ADJ
de P
mercaderia N
que C
levaren VBDI^3^PL
los D
mercaders N
; ;
e CONJ
tramès VBDI^2^PL
-vos PRO^D^2^PL
-en PRO^ADV
son D^POS
missatge N
e CONJ
pregà VBDI^3^SG
-us PRO^D^2^PL
molt ADV
amorosament ADV
per P
·i· NUM
seu D^POS
hom N
de P
son D^POS
alberch N
, COMMA
qui C
havia VBDI^3^SG
nom N
En DPR
Jaques NPR
, COMMA
e CONJ
vós PRO^2^PL
responés VBDS^3^SG
-li PRO^D^3^SG
molt ADV
bravament ADV
e CONJ
dura ADJ
e CONJ
dixés VBDS^3^SG
-li PRO^D^3^SG
qui C
era VBDI^3^SG
aquel D^DEM
rey N
que C
aquela D^DEM
terida N
demanava VBPI^3^SG
, COMMA
e CONJ
él PRO^3^SG
respòs VBDI^3^SG
-vos PRO^D^2^PL
que C
aquest D^DEM
era VBDI^3^SG
fiyl N
d’ P
aquel D^DEM
qui C
vençé VBDI^3^SG
la D
batayla N
a P
la D
ost N
d’ P
Úbeda NPR
; ;
e CONJ
vós PRO^2^PL
esquivàs VBDI^2^PL
-vos PRO^RFL^2^PL
e CONJ
fos VBDS^3^SG
FOL45v FOL
somogut VNI
contra P
él PRO^3^SG
e CONJ
dixés VBDS^3^SG
-li PRO^D^3^SG
que C
, COMMA
si C
no NEG
fos VBDS^3^SG
perquè C
era VBDI^3^SG
missatge N
, COMMA
que C
mala N
hauria VBPC^3^SG
dita VNI
aquela D^DEM
paraula N
; ;
e CONJ
él PRO^3^SG
respòs VBDI^3^SG
-vos PRO^D^2^PL
que C
en P
vostra D^POS
fe N
era VBDI^3^SG
vengut VNI
, COMMA
e CONJ
podíets VBDI^2^PL
fer VB
d’ P
él PRO^3^SG
a P
vostra D^POS
guisa N
e CONJ
que C
devíets VBDI^2^PL
bé ADV
saber VB
lo D
nom N
de P
son D^POS
seyor N
, COMMA
que C
tots D^Q
los D
hòmens N
del P+D
món N
lo PRO^A^3^SG
sabien VBDI^3^PL
e CONJ
saben VBPI^3^PL
con C
és VBPI^3^SG
poderós ADJ
entre P
·ls D
chrestians ADJ
e CONJ
alt N
, COMMA
per P
què WPRO
no NEG
devíets VBPS^2^PL
desdenyar VB
que C
no NEG
sabéssets VBDS^2^PL
lo D
seu D^POS
nom N
. .

E CONJ
per P
açò PRO^3^SG
vos PRO^RFL^2^PL
hé VBPI^1^SG
dites VNI
estes D^DEM
paraules N
per P
la D
mala ADJ
resposta N
que C
vós PRO^2^PL
li PRO^D^3^SG
feýets VBDI^2^PL
. .

A P
l’ D
