-DOCSTART- 0
de P 
merçè N 
, PUNC 
que C 
per P 
peccadors N 
que C 
nós PRO^1^PL 
fóssem VBDS^1^PL 
de P 
peccats N 
mortals ADJ 
ni CONJ+NEG 
de P 
venials ADJ 
, PUNC 
no NEG 
volch VBDI^3^SG 
que C 
nós PRO^1^PL 
preséssem VBDS^1^PL 
onta N 
ne CONJ+NEG 
dan N 
que C 
vergonya N 
·n PRO^G 
poguéssem VBDS^1^PL 
aver VB 
en P 
cort N 
ne CONJ+NEG 
en P 
altre ADJ 
loch N 
, PUNC 
no NEG 
volch VBDI^3^SG 
encara ADV 
que C 
moríssem VBDI^1^PL 
tro P 
açò PRO^3^SG
haguéssem VBDS^1^PL 
complit VNI 
. .

és VBPI^3^SG 
tanta D^Q 
la D 
merçè N 
que C 
él PRO^3^SG 
nos PRO^DAT^1^PL
feÿa VBDI^3^SG 
, PUNC 
que C 
tota D^Q
hora N 
·ns PRO^D^1^PL 
feÿa VBDI^3^SG 
honrar VB 
de P 
nostres D^POS 
enamichs N 
, PUNC 
de P 
feyt N 
e CONJ 
de P 
paraula N 
, PUNC 
e CONJ 
·ns PRO^D^1^PL 
donà VBPI^3^SG 
en P 
nostra ADJ^POS 
vida N 
salut N 
en P 
nostra ADJ^POS 
pressona N 
. .

E CONJ 
, PUNC 
si C 
algunes D^Q 
vegades N 
nos PRO^DAT^1^PL
dava VBDI^3^SG 
malauties N 
, PUNC 
fehya VBDI^3^SG 
-ho PRO^DAT^3^SG
en P 
manera N 
de P 
castigament N 
, PUNC 
en P 
semblança N 
de P 
pare N 
que C 
castiga VBPI^3^SG 
son ADJ^POS 
fiyl N 
. .

Car C 
diu VBPI^3^SG 
Salamó NPR 
que C 
qui C 
perdone VBPS^3^SG 
a P 
son ADJ^POS 
fiyl N 
les D 
vergues N 
de P 
castigament N 
, PUNC 
que C 
mal N 
li PRO^DAT^2^SG
fa VBPI^3^SG 
, PUNC 
e CONJ 
no NEG 
sembla VBPI^3^SG 
que C 
li PRO^DAT^3^SG
vuyla VBPS^3^PL 
bé ADV 
. .

E CONJ 
anch ADV 
Nostre ADJ^POS 
Seyor N 
no NEG 
·ns PRO^A^1^PL 
castigà VBDI^3^SG 
tan ADV 
fort ADV 
que C 
a P 
nós PRO^1^PL 
tengués VBDS^3^SG 
don N 
. .

On ADV 
li PRO^D^3^SG 
grahíem VBDI^1^PL 
, PUNC 
la D 
hora N 
quan C 
nos PRO^A^1^PL 
castigava VBDI^3^SG 
, PUNC 
lo D 
castigament N 
que C 
·ns PRO^D^1^PL 
feÿa VBDI^3^SG 
; ; 
e CONJ 
ara ADV 
de P 
tot PRO^Q 
en P 
tot PRO^Q 
, PUNC 
can C 
conexem VBPI^1^PL 
que C 
per P 
nostre D^POS 
be N 
ho PRO^A^NTR 
fehya VBDI^3^SG 
. .

E CONJ 
membra VBPC^3^SG 
·ns PRO^D^1^PL 
bé ADV 
una NUM 
paraula N 
que C 
·ns PRO^D^1^PL 
retrau VBPI^3^SG 
la D 
sancta ADJ 
Scriptura N 
, PUNC 
que C 
diu VBPI^3^SG 
: : 
&LL PUNC 
Omnis FW 
laus FW 
in FW 
fine FW 
FOL1v FOL 
canitur FW 
&LT PUNC 
, PUNC 
que C 
vol VBPI^3^SG 
dir VB 
aytant ADV 
que C 
la D 
meylor ADJ 
cosa N 
que C 
l’ D 
hom MAN 
pot VBPI^3^SG 
haver VB 
sí C 
és VBPI^3^SG 
a P 
la D 
derreria N 
dels P+D 
seus D^POS
ayns N 
. .

E CONJ 
la D 
merçè N 
del P+D 
Seyor N 
de P 
glòria N 
ha VBPI^3^SG 
feyt VN 
a P 
nós PRO^1^PL 
en P 
aquesta D^DEM 
semblança N 
, PUNC 
perquè C 
·s PRO^RFL^3^SG
cumple VBPS^3^SG 
la D 
paraula N 
de P 
sent ADJ 
Jacme NPR 
; ; 
que C 
a P 
la D 
derreria N 
de P 
nostres ADJ^POS 
ayns N 
volch VBDI^3^SG 
complir VB 
que C 
la D 
obra N 
s’ PRO^RFL^3^SG
acordàs VBDS^3^SG 
ab P 
la D 
fe N 
. .

E CONJ 
nós PRO^1^PL 
esgardan VG 
e CONJ 
pensan VG 
qual WADJ 
era VBDI^3^SG
aquest D^DEM 
món N 
en P 
lo D 
qual WADJ 
los D 
hòmens N 
viuen VBPC^3^PL 
humanament ADV 
e CONJ 
con C 
és VBPI^3^SG 
petit ADJ 
aquest D^DEM 
segle N 
e CONJ 
frèvol ADJ 
e CONJ 
ple ADJ 
d’ P 
escàndel N 
, PUNC 
e CONJ 
con C 
l’ D 
altre PRO 
ha VBPI^2^SG 
glòria N 
en P 
sí PRO 
senes P 
fi N 
, PUNC 
e CONJ 
Nostre ADJ^POS 
Seyor N 
con C 
la D 
dóna VBPI^3^SG 
a P 
aquels D^DEM
qui C 
la D 
volen VBPI^3^PL 
haver VB 
ni CONJ+NEG 
la D 
percaçen VBPI^3^PL 
; ; 
e CONJ 
esgardan VG 
encara ADV 
con C 
és VBPI^3^SG 
gran ADJ 
lo D 
seu ADJ^POS 
poder N 
e CONJ 
petita ADJ 
la D 
nostra ADJ^POS 
flaquea N 
, PUNC 
e CONJ 
coneguem VBPI^1^PL 
e CONJ 
entenem VBPI^1^PL 
per P 
veritat N 
aquest D^DEM 
mot N 
que C 
diu VBPI^3^SG 
la D 
Escriptura N 
: : 
&LL PUNC 
Omnia FW 
pretereunt FW 
preter FW 
amare FW 
Deum FW 
&LT PUNC 
, PUNC 
que C 
vol VBPI^3^SG 
dir VB 
aytant ADV 
que C 
totes D^Q 
les D 
coses N 
del P+D 
món N 
són VBPI^3^PL 
trespassadores ADJ 
e CONJ 
que C 
·s PRO^RFL^3^PL
perden VBPI^3^PL 
, PUNC 
sinó CONJ 
tan ADV 
solament ADV 
la D 
amor N 
de P 
Déu N 
. .

E CONJ 
nós PRO^1^PL 
, PUNC 
conexén VG 
que C 
aquesta D 
era VBDI^3^SG
la D 
veritat N 
e CONJ 
l’ D 
àls PRO 
, PUNC 
monçònega N 
, PUNC 
volguem VBPI^1^PL 
la D 
nostra ADJ^POS 
pensa N 
e CONJ 
les D 
nostres D^POS 
obres N 
donar VB 
, PUNC 
e CONJ 
pensar VB 
e CONJ 
dreçar VB 
als P+D 
manamens N 
de P 
nostre ADJ^POS 
Salvador NPR 
, PUNC 
e CONJ 
lexam VBPI^1^PL 
les D 
vanes ADJ 
glòries N 
d’ P 
aquest D^DEM 
món N 
per P 
conseguir VB 
al P+D 
seu ADJ^POS 
regne N 
. .

Car C 
él PRO^3^SG 
nos PRO^DAT^1^PL
diu VBPI^3^SG 
en P 
l’ D 
Avengeli N 
: : 
&LL PUNC 
Qui FW 
vult FW 
venire FW 
post FW 
me FW 
, PUNC 
abneget FW 
semetipsum FW 
et FW 
tollat FW 
crucem FW 
suam FW 
et FW 
sequatur FW 
me FW 
&LT PUNC 
. .

vol VBPI^3^SG 
tant ADV 
dir VB 
en P 
romans N 
que C 
qui C 
vol VBPI^3^SG 
venir VB 
aprés ADV 
d’ P 
él PRO^3^SG 
leyx VBPS^3^SG 
la D 
sua D^POS 
voluntat N 
per P 
la D 
sua D^POS 
. .

E CONJ 
membra VBPI^3^SG 
·ns PRO^D^1^PL 
encara ADV 
a P 
nós PRO^1^PL 
les D 
grans ADJ 
gràcies N 
que C 
Ell PRO 
moltes D^Q 
vegades N 
nos PRO^DAT^1^PL
havia VBDI^3^SG 
feytes VNI 
en P 
temps N 
de P 
nostra D^POS
vida N 
, PUNC 
e CONJ 
majorment ADV 
a P 
la D 
derreria N 
dels P+D 
nostres ADJ^POS 
dies N 
, PUNC 
volguem VBPC^1^PL 
leixar VB 
la D 
nostra D^POS
voluntat N 
per P 
la D 
sua D^POS 
. .

E CONJ 
per P 
tal ADJ 
que C 
·ls D 
hòmens N 
coneguessen VBDS^3^PL 
e CONJ 
sabessen VBDS^3^PL 
can C 
haurien VBPC^3^PL 
passada VNI 
aquesta D^DEM 
vida N 
mortal ADJ 
, PUNC 
ço PRO 
que C 
nós PRO^1^PL 
hauríem VBPC^1^PL 
feyt VNI 
ajudan VG 
-nos PRO^A^1^PL 
lo D 
Seyor N 
poderós ADJ 
en P 
qui C 
és VBPI^3^SG 
vera ADJ 
trinitat N 
, PUNC 
lexam VBPI^1^PL 
aquest D^DEM 
libre N 
per P 
memòria N 
. .

E CONJ 
aquels D^DEM
qui C 
volran VBFI^3^PL 
hoir VB 
de P 
les D 
gràcies N 
que C 
Nostre D^POS 
Seyor N 
nos PRO^DAT^1^PL
ha VBPI^3^SG 
feytes VNI 
e CONJ 
per P 
dar VB 
exempli N 
a P 
tots D^Q 
los D 
altres D^Q 
hòmens N 
FOL2r FOL 
del P+D 
món N 
, PUNC 
que C 
façen VBPS^3^PL 
ço PRO 
que C 
nós PRO^1^PL 
havem VBPI^1^PL 
feyt VNI 
: : 
de P 
metre VB 
sa D 
fe N 
en P 
aquest D^DEM 
Seyor N 
qui C 
és VBPI^3^SG 
tan ADV 
poderós ADJ 
. .

Vera ADJ 
cosa N 
és VBPI^3^SG 
e CONJ 
certa ADJ 
que C 
nostre ADJ 
avi N 
, PUNC 
el D 
rey N 
Don DPR 
Amfós NPR 
, PUNC 
féu VBDI^3^SG 
parlar VB 
matrimoni N 
a P 
l’ D 
emperador N 
de P 
Contastinoble NPR 
que C 
li PRO^D^3^SG 
donàs VBDS^3^SG
sa D^POS 
filla N 
per P 
muyler N 
. .

E CONJ 
sobre P 
aqueles D^DEM 
paraules N 
que C 
foren VBDI^3^PL 
tractades VNI 
e CONJ 
acordades VNI 
d’ P 
amdues Q 
les D 
parts N 
, PUNC 
ço PRO 
és VBPI^3^SG 
assaber VB 
, PUNC 
de P 
nostre D^POS 
avi N 
e CONJ 
de P 
l’ D 
emperador N 
, PUNC 
féu VBDI^3^SG 
matrimoni N 
nostre D^POS 
avi N 
ab P 
la D 
regina N 
Dona DPR 
Sanxa NPR 
, PUNC 
que C 
fo VBDI^3^SG 
fiyla N 
de P 
l’ D 
emperador N 
de P 
Castella NPR 
. .

E CONJ 
l’ D 
emperador N 
de P 
Contastinoble NPR 
no NEG 
sabèn VG 
lo D 
matrimoni N 
que C 
él PRO^3^SG 
avia N 
feyt VNI 
, PUNC 
envià VBDI^2^SG 
sa D^POS 
fiyla N 
al P+D 
rey N 
Don DPR 
Alfonso NPR 
d’ P 
Aragó NPR 
, PUNC 
qui C 
era VBDI^3^SG
comte N 
de P 
Barçalona NPR 
e CONJ 
marquès N 
de P 
Proença NPR 
. .

E CONJ 
·i· NUM 
bisbe N 
e CONJ 
·ii· NUM 
richs ADJ 
hòmens N 
qui C 
venien VBDI^3^PL 
ab P 
ella PRO^3^SG 
, PUNC 
quan C 
foren VBDI^3^PL 
a P 
Montpestler NPR 
, PUNC 
saberen VBDI^3^PL 
que C 
·l D 
rey N 
Don DPR 
Alfonso NPR 
, PUNC 
nostre D^POS 
avi N 
, PUNC 
havia VBDI^3^SG 
presa VNI 
la D 
reyna N 
Dona DPR 
Sanxa NPR 
, PUNC 
fiyla N 
de P 
l’ D 
emperador N 
de P 
Castella NPR 
, PUNC 
per P 
muyler N 
. .

E CONJ 
viren VBDI^3^PL 
-se PRO^RFL^3^PL
en P 
gran ADJ 
enbarch N 
e CONJ 
en P 
gran ADJ 
pensament N 
què WPRO 
farien VBPC^3^PL 
, PUNC 
pus C 
él PRO^3^SG 
havia VBDI^3^SG 
presa VNI 
altra D 
muyler N 
. .

E CONJ 
En DPR 
Guillem NPR 
de P 
Monpestler NPR 
era VBDI^3^SG
seyor N 
de P 
Montpestler NPR 
e CONJ 
de P 
la D 
seyoria N 
que C 
pertany VBPI^3^SG 
a P 
Montpestler NPR 
. .

aquels D^DEM 
nobles N 
qui C 
eren VBDI^3^PL 
venguts VNI 
ab P 
la D 
fiyla N 
de P 
l’ D 
emperador N 
demanaren VBDI^3^PL 
què WPRO 
·s PRO^RFL^3^PL
farien VBPC^3^PL 
d’ P 
aquest D^DEM 
engan N 
e CONJ 
d’ P 
aquest D^DEM 
faliment N 
que C 
havien VBDI^3^PL 
pres VN 
: : 
que C 
éls PRO^3^PL 
vinent VG 
ab P 
la D 
fiyla N 
de P 
l’ D 
emperador N 
Manuel NPR 
al P+D 
rey N 
Don DPR 
Alfonso NPR 
que C 
la D 
presés VBDS^3^SG 
per P 
muyler N 
, PUNC 
e CONJ 
él PRO^3^SG 
n’ PRO^ADV 
avia VBDI^3^SG 
altra D^Q 
presa VNI 
, PUNC 
e CONJ 
que C 
·ls PRO^D^3^PL 
conseylàs VBDS^3^SG 
en P 
qual WADJ 
manera N 
se PRO^RFL^3^PL
·n PRO^ADV 
captendrien VBPC^3^PL 
. .

E CONJ 
él PRO^3^SG 
respòs VBDI^3^SG 
-los PRO^D^3^PL 
qu’ C 
él PRO^3^SG 
hauria VBPC^3^SG 
son D^POS 
conseyl N 
. .

E CONJ 
quan C 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
hac VBDI^3^SG 
tot D^Q 
son D^POS 
conseyl N 
ajustat VNI 
, PUNC 
donaren VBDI^3^PL 
-li PRO^D^3^SG
per P 
conseyl N 
sos D^POS 
richs ADJ 
hòmens N 
e CONJ 
sos D^POS 
cavallers N 
e CONJ 
aquels D^DEM 
que C 
eren VBDI^3^PL 
hòmens N 
de P 
valor N 
en P 
la D 
ciutat N 
de P 
Montpestler NPR 
que C 
la D 
·s PRO^RFL^3^SG
retingués VBDS^3^SG 
per P 
muyler N 
. .

E CONJ 
pus C 
Déus N 
li PRO^D^3^SG 
havia VBDI^3^SG 
dada VNI 
tanta D^Q 
de P 
gràcia N 
, PUNC 
que C 
la D 
fiyla N 
de P 
l’ D 
emperador N 
Manuel NPR 
, PUNC 
que C 
era VBDI^3^SG
en P 
aquel D^DEM 
temps N 
lo D 
meylor ADJ 
hom N 
de P 
chrestians ADJ 
, PUNC 
era VBDI^3^SG
venguda VN 
en P 
sa D^POS 
vila N 
ni CONJ+NEG 
e CONJ 
·l D 
loc N 
hon C
él PRO^3^SG 
era VBDI^3^SG
e CONJ 
era VBDI^3^SG
desconsolada VNI 
de P 
marit N 
que C 
FOL2v FOL 
devia VBDI^3^SG 
haver VB 
, PUNC 
que C 
la D 
presés VBDS^3^SG 
per P 
muyler N 
e CONJ 
que C 
no NEG 
la D 
·n PRO^ADV 
lexàs VBDS^3^SG 
tornar VB 
per P 
nuyla ADJ^Q 
re N
. .

E CONJ 
sobre P 
açò PRO^3^SG
él PRO^3^SG 
féu VBDI^3^SG 
resposta N 
al P+D 
bisbe N 
e CONJ 
als P+D 
nobles N 
qui C 
vengueren VBDI^3^PL 
ab P 
ella PRO^3^SG 
. .

E CONJ 
la D 
resposta N 
fo VBDI^3^SG 
aytal D^Q 
, PUNC 
que C 
·ls PRO^A^3^PL 
envià VBDI^2^SG 
per P 
sos D^POS 
missatgers N 
: : 
que C 
pus C 
Déus N 
li PRO^D^3^SG 
havia VBDI^3^SG 
dada VNI 
tanta D^Q 
de P 
gràcia N 
, PUNC 
que C 
pus C 
ella PRO^3^SG 
no NEG 
havia VBDI^3^SG
aquell D^DEM 
marit N 
que C 
devia VBDI^3^SG 
haver VB 
, PUNC 
que C 
él PRO^3^SG 
la D 
volia VBDI^3^SG 
haver VB 
per P 
muyler N 
. .

E CONJ 
quan C 
los D 
missatgers N 
de P 
l’ D 
emperador N 
hoïren VBDI^3^PL 
aquestes D^DEM 
paraules N 
, PUNC 
ab P 
lo D 
desconort N 
que C 
havien VBDI^3^PL 
de P 
primer ADJ 
, PUNC 
los PRO^3^PL-RFL
doblà VBDI^3^SG 
: : 
que C 
la D 
filla N 
de P 
l’ D 
emperador N 
presés VBDS^3^SG 
marit N 
sinó CONJ 
rey N 
o CONJ 
emperador N 
, PUNC 
car C 
altre PRO 
no NEG 
li PRO^D^3^SG 
tanyia VBDI^3^SG 
. .

E CONJ 
pregaren VBDI^3^PL 
-lo PRO^A^3^SG 
molt ADV 
carament ADV 
per P 
la D 
valor N 
que C 
en P 
él PRO^3^SG 
era VBDI^3^SG
e CONJ 
per P 
Déu N 
que C 
·n PRO^ADV 
lexàs VBDS^3^SG 
tornar VB 
la D 
fiyla N 
de P 
l’ D 
emperador N 
, PUNC 
car C 
éls PRO^3^PL 
li PRO^D^3^SG 
havien VBDI^3^PL 
promès VN 
que C 
, PUNC 
si C 
aquel D^DEM 
matrimoni N 
no NEG 
·s PRO^RFL^3^SG
faés VBDS^3^SG 
, PUNC 
que C 
la D 
tornassen VBDS^3^PL 
a P 
son D^POS 
pare N 
per P 
terra N 
o CONJ 
per P 
mar N 
; ; 
e CONJ 
que C 
no NEG 
·ls PRO^A^3^PL 
enbargàs VBDS^3^SG 
, PUNC 
pus C 
raó N 
no NEG 
y PRO^ADV 
havia VBDI^3^SG
ne CONJ+NEG 
per P 
él PRO^3^SG 
no NEG 
era VBDI^3^SG
venguda VNI 
. .

ab P 
aytant ADV 
respòs VBDI^3^SG 
-los PRO^D^3^PL 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
e CONJ 
son D^POS
conseyl N 
que C 
d’ P 
altra D^Q 
manera N 
no NEG 
seria VBPC^3^SG 
. .

E CONJ 
quan C 
los D 
missatgers N 
de P 
l’ D 
emperador N 
enteseren VBDI^3^PL 
la D 
lur D^POS 
voluntat N 
e CONJ 
que C 
d’ P 
altra D^Q 
manera N 
no NEG 
poria VBPC^3^SG 
ésser VB 
, PUNC 
demanaren VBDI^3^PL 
-los PRO^D^3^PL 
acort N 
, PUNC 
e CONJ 
éls PRO^3^PL 
donaren VBDI^3^PL 
-lo PRO^A^3^SG 
·ls PRO^D^3^PL 
tro P 
en P 
l’ D 
altre D^Q 
dia N 
. .

E CONJ 
el D 
bisbe N 
e CONJ 
els D 
richs ADJ 
hòmens N 
qui C 
vengren VBDI^3^PL 
ab P 
ela PRO^3^SG 
veeren VBDI^3^PL 
que C 
la D 
voluntat N 
d’ P 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
e CONJ 
de P 
son D^POS 
conseyl N 
havia VBDI^3^SG
a P 
passar VB 
; ; 
pensaren VBDI^3^PL 
-se PRO^RFL^3^PL
que C 
faessen VBDS^3^PL 
aquel D^DEM 
matrimoni N 
ab P 
aquesta D^DEM 
condició N 
: : 
que C 
si C 
fiyl N 
o CONJ 
fiyla N 
venia VBDI^3^SG 
qui C 
fos VBDS^3^SG 
concriat VNI 
d’ P 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
e CONJ 
de P 
la D 
fiyla N 
de P 
l’ D 
emperador N 
, PUNC 
que C 
fos VBDS^3^SG 
seyor N 
de P 
Montpestler NPR 
, PUNC 
vivent VG 
aquel D^DEM 
o CONJ 
aquela D^DEM 
. .

E CONJ 
tornaven VBDI^3^PL 
a P 
fer VB 
sa D^POS 
resposta N 
e CONJ 
dixeren VBDI^3^PL 
a P 
·N DPR 
Guillem NPR 
de P 
Montpestler NPR 
e CONJ 
a P 
son D^POS 
conseyl N 
que C 
éls PRO^3^PL 
los D 
porien VBPC^3^PL 
mal N 
fer VB 
o CONJ 
pendre VB 
, PUNC 
o CONJ 
que C 
la D 
·ls PRO^D^3^PL 
tolguessen VBDS^3^PL 
, PUNC 
mas CONJ 
ab P 
la D 
lur D^POS 
volentat N 
ne CONJ+NEG 
ab P 
la D 
d’ P 
ella PRO^3^SG 
no NEG 
farien VBPC^3^PL 
aquel D^DEM 
matrimoni N 
, PUNC 
si C 
, PUNC 
donchs CONJ 
, PUNC 
no NEG 
u PRO^A^NTR 
faÿen VBDI^3^PL
en P 
aquesta D^DEM 
manera N 
: : 
que C 
él PRO^3^SG 
los D 
prometés VBDS^3^SG 
ab P 
sagrament N 
e CONJ 
ab P 
homenatge N 
, PUNC 
e CONJ 
que C 
u PRO^A^NTR 
faessen VBDS^3^PL 
jurar VB 
a P 
tots D^Q 
los D 
hòmens N 
de P 
Montpestler NPR 
de P 
·x· NUM 
ayns N 
a P 
en P 
sus P 
, PUNC 
que C 
jurassen VBDS^3^PL 
que C 
fiyl N 
o CONJ 
fiyla N 
que C 
fos VBDS^3^SG 
d’ P 
amdós PRO 
, PUNC 
FOL3r FOL 
que C 
fos VBDS^3^SG 
seyor N 
de P 
Montpestler NPR 
, PUNC 
si C 
fos VBDS^3^SG 
hom N 
e CONJ 
aytambé ADV 
si C 
fos VBDS^3^SG 
fembra N 
. .

aquestes D^DEM 
paraules N 
foren VBDI^3^PL 
meses VNI 
en P 
cartes N 
. .

E CONJ 
en P 
aquesta D^DEM 
manera N 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
, PUNC 
haüt VNI 
conseyl N 
de P 
sos D^POS 
nobles N 
e CONJ 
de P 
son D^POS 
conseyl N 
, PUNC 
atorgà VBDI^3^SG 
les D 
paraules N 
, PUNC 
e CONJ 
féu VBDI^3^SG 
-se PRO^RFL^3^SG
el D 
matrimoni N 
. .

E CONJ 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
hac VBDI^3^SG 
d’ P 
aquela D^DEM 
dona N 
una D 
fiyla N 
per P 
nom N 
Maria NPR 
. .

E CONJ 
quan C 
vench VBDI^3^SG 
aenant ADV 
, PUNC 
fo VBDI^3^SG 
parlat VNI 
matrimoni N 
entre P 
·l D 
rey N 
Don DPR 
Pedro NPR 
, PUNC 
nostre D^POS 
pare N 
, PUNC 
e CONJ 
la D 
fyla N 
d’ P 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
, PUNC 
que C 
era VBDI^3^SG
dona N 
de P 
Montpestler NPR 
e CONJ 
de P 
totes D^Q 
ses D^POS 
pertinències N 
, PUNC 
e CONJ 
ela PRO^3^SG 
que C 
daria VBPC^3^SG 
son D^POS 
cors N 
e CONJ 
Montpestler NPR 
ab P 
totes D^Q 
ses D^POS 
pertinències N 
. .

E CONJ 
ayxí ADV 
féu VBDI^3^SG 
-se PRO^RFL^3^SG
el D 
matrimoni N 
, PUNC 
e CONJ 
fo VBDI^3^SG 
lo D 
seu D^POS 
nom N 
crescut VNI 
, PUNC 
que C 
hac VBDI^3^SG 
nom N 
la D 
reyna N 
Dona DPR 
Maria NPR 
. .

E CONJ 
puys ADV 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
, PUNC 
estant VG 
ella PRO^3^SG 
viva ADJ 
, PUNC 
près VBDI^3^SG 
·i_a· D 
altra D^Q 
dona N 
, PUNC 
que C 
era VBDI^3^SG
de P 
Castella NPR 
&L PUNC 
- PUNC 
de P 
què WPRO 
no NEG 
·ns PRO^D^1^PL 
membra VBPI^3^SG 
·l D 
nom N 
del P+D 
pare N 
d’ P 
aquela D^DEM 
dona N 
, PUNC 
mas CONJ 
ella PRO^3^SG 
avia VBDI^3^SG 
nom N 
Dona DPR 
Agnès NPR 
] PUNC 
&L+ PUNC 
, PUNC 
de P 
la D 
qual C 
agué VBDS^3^SG 
aquest D^DEM 
fiyls N 
, PUNC 
per P 
nom N 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
, PUNC 
qui C 
tench VBDI^3^SG 
Peyollà NPR 
tro P 
a P 
hora N 
de P 
la D 
sua D^POS 
mort N 
; ; 
e CONJ 
l’ D 
altre D^Q 
, PUNC 
En DPR 
Bergunyó NPR 
; ; 
e CONJ 
En DPR 
Bernat NPR 
Guillem NPR 
, PUNC 
que C 
nós PRO^1^PL 
heretam VBPI^1^PL 
e CONJ 
donam VBPI^1^PL 
muyler N 
, PUNC 
per P 
nom N 
Na DPR 
Juliana N 
, PUNC 
que C 
era VBDI^3^SG
de P 
linyatge N 
de P 
la D 
mare N 
, PUNC 
per P 
nom N 
d’ P 
Entença NPR 
, PUNC 
fiyla N 
d’ P 
En DPR 
Ponç NPR 
Huc NPR 
, PUNC 
frare N 
del P+D 
comte N 
d’ P 
Empúries NPR 
, PUNC 
qui C 
havia VBDI^3^SG
nom N 
n’ DPR 
Uch NPR 
; ; 
e CONJ 
·i· NUM 
altre D^Q 
frare N 
que C 
nodria VBDI^3^SG 
nostre D^POS 
pare N 
, PUNC 
qui C 
havia VBDI^3^SG
nom N 
Tortoseta NPR 
. .

E CONJ 
aquest D^DEM 
Guillem NPR 
de P 
Montpestler NPR 
, PUNC 
qui C 
era VBDI^3^SG
major ADJ 
fiyl N 
d’ P 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
, PUNC 
punyà VBPI^3^SG 
con C 
fos VBDS^3^SG 
senyor N 
de P 
Montpestler NPR 
, PUNC 
per P 
ço PRO 
cor C 
él PRO^3^SG 
era VBDI^3^SG
hom N 
. .

E CONJ 
aquest D^DEM 
pleyt N 
vench VBDI^3^SG 
denant P 
l’ D 
apostoli N 
, PUNC 
sí ADV 
que C 
nostra D^POS
mare N 
, PUNC 
la D 
reyna N 
Dona DPR 
Maria NPR 
, PUNC 
anà VBDI^3^SG 
a P 
la D 
cort N 
de P 
Roma NPR 
per P 
mantenir VB 
son D^POS 
dret N 
, PUNC 
e CONJ 
que C 
nós PRO^1^PL 
, PUNC 
que C 
érem VBDI^1^PL
