Parameters: -p dddfaaa -P sssdddFchnaaa
File: tagged/60000train.txt

category	seen	precision	recall	f-score	number
P+D	yes	1.00	1.00	1.00	536
PRO^A^NTR	yes	1.00	1.00	1.00	223
VBDS^3^PL	yes	0.96	0.96	0.96	151
PRO^A^2^PL	yes	0.33	0.21	0.25	62
VBPS^3^SG	yes	0.99	0.97	0.98	77
OLE	yes	1.00	1.00	1.00	11
ASIDEB	yes	1.00	1.00	1.00	5
.	yes	1.00	1.00	1.00	1724
NUM	yes	0.98	1.00	0.99	634
:	yes	1.00	1.00	1.00	414
ADV	yes	0.96	0.97	0.97	1604
VBPS^2^PL	yes	0.91	0.89	0.90	56
N	yes	0.98	0.98	0.98	6185
PRO^RFL^1^PL	yes	0.84	0.73	0.78	155
ADJ	yes	0.95	0.95	0.95	774
D^POS	yes	0.99	1.00	0.99	967
§	yes	1.00	1.00	1.00	13
D^Q	yes	0.97	0.97	0.97	807
PRO^3^PL	yes	0.99	1.00	0.99	256
VBI^1^PL	yes	1.00	1.00	1.00	7
PRO^A^3^SG	yes	0.80	0.57	0.66	185
¿	yes	1.00	1.00	1.00	29
VBPI^3^PL	yes	0.95	0.95	0.95	139
DPR	yes	1.00	1.00	1.00	833
WADV	yes	1.00	0.89	0.94	9
VBFI^3^PL	yes	0.91	0.91	0.91	22
WADJ	yes	0.88	0.50	0.64	14
PRO^D^1^SG	yes	0.82	0.83	0.83	66
VBDI^3^PL	yes	0.99	0.99	0.99	1205
!	yes	1.00	1.00	1.00	5
VBFI^1^SG	yes	0.95	1.00	0.98	21
-	yes	1.00	1.00	1.00	46
COMMA	yes	1.00	1.00	1.00	3910
VBI^2^SG	yes	0.00	0.00	0.00	2
PRO^Q	yes	0.94	0.89	0.91	192
VB	yes	0.99	1.00	1.00	1027
VG	yes	0.98	1.00	0.99	58
VBDI^1^PL	yes	0.97	0.98	0.97	1053
VN	yes	0.80	0.71	0.75	108
INTJ	yes	0.60	1.00	0.75	6
PRO^1^SG	yes	1.00	1.00	1.00	94
VBDI^3^SG	yes	0.99	0.99	0.99	1724
ASIDEE	yes	1.00	1.00	1.00	5
]	yes	1.00	1.00	1.00	5
VBPS^1^PL	yes	0.89	0.86	0.88	37
VBPC^2^PL	yes	1.00	0.92	0.96	12
PRO^A^1^PL	yes	0.39	0.14	0.21	93
PRO^D^2^PL	yes	0.62	0.77	0.69	175
PRO^D^3^SG	no	0.00	0.00	0.00	0
PRO^RFL^3^PL	no	0.00	0.00	0.00	1
VBDI^2^SG	no	0.00	0.00	0.00	2
VBPI^1^SG	no	0.12	0.11	0.11	19
VBDS^3^PL	no	0.66	0.75	0.71	65
FW	no	0.74	0.37	0.49	54
VBDI^2^PL	no	0.25	0.10	0.14	10
VBPS^3^PL	no	0.21	0.18	0.19	17
VBPC^3^SG	no	0.58	0.78	0.66	49
PRO^D^3^PL	no	1.00	0.50	0.67	2
VBFI^3^PL	no	0.47	0.60	0.53	15
VBDS^2^PL	no	0.00	0.00	0.00	12
VBDS^1^PL	no	0.72	0.70	0.71	60
VBPI^2^PL	no	0.31	0.28	0.29	18
WADJ	no	0.40	0.50	0.44	4
VBPC^1^PL	no	0.52	0.55	0.53	31
VBPI^3^SG	no	0.39	0.21	0.28	42
VBPC^1^SG	no	0.00	0.00	0.00	5
VBDI^3^PL	no	0.73	0.75	0.74	188
VBFI^2^PL	no	0.17	0.18	0.17	11
CONJ	no	0.00	0.00	0.00	2
DPR	no	0.50	0.20	0.29	5
OLB	no	0.00	0.00	0.00	0
PRO^2^PL	no	0.00	0.00	0.00	1
INTJ	no	0.00	0.00	0.00	3
PRO^3^SG	no	0.67	0.57	0.62	7
VBFI^1^SG	no	0.77	0.83	0.80	24
VG	no	0.76	0.71	0.74	45
VNI	no	0.66	0.67	0.67	219
ADJ^Q	no	0.00	0.00	0.00	5
D^DEM	no	0.00	0.00	0.00	3
P+D	no	0.00	0.00	0.00	1
NUM	no	0.78	0.86	0.82	21
NEG	no	0.00	0.00	0.00	3
VBPC^2^SG	no	0.00	0.00	0.00	2
VBPC^3^PL	no	0.39	0.47	0.43	40
PRO^Q	no	0.00	0.00	0.00	5
VBPS^1^SG	no	0.00	0.00	0.00	3
ADV	no	0.44	0.37	0.40	87
VBPI^1^PL	no	0.32	0.24	0.28	46
VB	no	0.84	0.87	0.85	162
D	no	0.00	0.00	0.00	4
VBPS^2^PL	no	0.29	0.41	0.34	39
VBDS^3^SG	no	0.65	0.84	0.74	51
VBI^2^SG	no	0.00	0.00	0.00	1
VBDI^1^PL	no	0.64	0.68	0.66	127
VN	no	0.52	0.55	0.53	29
N	no	0.74	0.75	0.74	856
VBI^2^PL	no	0.54	0.58	0.56	26
P	no	0.18	0.15	0.17	13
PRO^1^SG	no	0.00	0.00	0.00	1
VBFI^3^SG	no	0.52	0.58	0.55	19
VBDS^2^SG	no	0.00	0.00	0.00	3
VBDI^3^SG	no	0.65	0.68	0.66	173
FOL	no	1.00	1.00	1.00	142
VBPS^3^SG	no	0.12	0.08	0.10	24
ADJ	no	0.21	0.20	0.20	121
VBDS^1^SG	no	0.00	0.00	0.00	1
VBPI^3^PL	no	0.58	0.24	0.34	29
D^POS	no	0.00	0.00	0.00	4
§	no	0.00	0.00	0.00	1
D^Q	no	0.20	0.33	0.25	12
VBPS^1^PL	no	0.27	0.24	0.25	17
VBDI^1^SG	no	0.33	0.27	0.30	11
VBPI^2^SG	no	0.00	0.00	0.00	1
PRO^ADV	no	0.00	0.00	0.00	4
PRO^3^PL	no	0.00	0.00	0.00	1
VBFI^1^PL	no	0.56	0.73	0.63	26
VBI^1^PL	no	0.33	0.50	0.40	4
PRO^A^3^SG	no	0.00	0.00	0.00	1
VBPC^2^PL	no	0.33	0.29	0.31	7
C	no	0.00	0.00	0.00	5
PRO^D^2^PL	no	0.00	0.00	0.00	1
NPR	no	0.90	0.94	0.92	585

global accuracy: 0.958
global accuracy seen words: 0.976
global accuracy unseen words: 0.681
